stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,time_stop
dudTarget,Target at Dudley Farm,,38.33852,-81.71428,102,,0,,1
ham_saveAlot,Sav-A-Lot,Hamlin Sav-A-Lot,38.27863,-82.12476,101,,0,,1
harts-FasCheck,Harts Fas Check,,38.03027,-82.12970,101,,0,,1
julian,Julian,,38.15512,-81.85204,102,,0,,1
kanMall,Kanawha Mall,,38.31147,-81.56887,102,,0,,1
krtTransMall,Transit Mall,,38.35184,-81.63552,102,,0,,1
lincolnCourt,Lincoln County Courthouse,,38.27886,-82.10543,101,,0,,1
LincolnPlaza,Lincoln Plaza,WhitesPlaza,38.27198,-82.20021,101,,0,,1
loganCourt,Logan County Courthouse,,37.84717,-81.99139,101,,0,,1
loganHosp,Logan General Hospital,,37.84602,-81.99410,101,,0,,1
marmet,Marmet,,38.24328,-81.56610,102,,0,,1
mntlHealth-mingo/logan,Logan-Mingo Mental Health,,37.82708,-81.94461,101,,0,,1
Monitor,Monitor,,37.83546,-82.00194,101,,0,,1
mtnMartPlaza,Mountain Mart Plaza,,37.72963,-81.87086,101,,0,,1
PO-lorado,Lorado Post Office,,37.79658,-81.73017,101,,0,,1
PO-madison,Madison Post Office,,38.06094,-81.82313,109,,0,,1
PO-omar,Omar Post Office,,37.75555,-81.99970,101,,0,,1
PO-saraAnn,Sarah Ann Post Office,,37.71295,-81.98907,101,,0,,1
PO-stollings,Stollings Post Office,,37.83467,-81.96659,101,,0,,1
pride,PRIDE Community Services Office,,37.84582,-81.99382,101,,0,,1
ranger-FasCheck,Ranger Fas Check,,38.11877,-82.18162,102,,0,,1
riteAid-man,Man Rite Aid,,37.72951,-81.86762,101,,0,,1
sctc,Southern Community and Technical College,,37.85081,-82.02354,110,,0,,1
soRidge,Southridge Center Wal-Mart,,38.31969,-81.71497,102,,0,,1
sweetland,Sweetland,,38.25456,-82.03998,101,,0,,1
traceFkPlaza,Trace Fork Plaza,,38.33484,-81.71199,102,,0,,1
walmart-barb,Barboursville Wal-Mart,,38.42203,-82.25740,102,,0,,1
walmart-logan,Logan Wal-Mart,,37.86094,-82.04560,101,,0,,1
WhitesPlaza,White's Plaza,TRT hub,38.28112,-82.09200,101,,0,,1
Wilkinson,Wilkinson,,37.82804,-81.99761,101,,0,,1
